Category,Quantity,References,Value,Stock Code,Unit Cost
Capacitors,2,C1-C2,100n,,$0.00260
Capacitors,3,C3-C5,1u,,$0.01080
Resistors,4,"R1-R2,R9-R10",10k,,$0.00140
Resistors,4,"R3,R6,R11,R13",1k,,$0.00110
Resistors,1,R12,470R,,$0.00310
Integrated Circuits,1,U1,U HALL 39E,39E generic linear hall sensor,$0.16230
Integrated Circuits,2,"U2,U6",D ESD 4CH,SESRV05-4,$0.03450
Integrated Circuits,1,U3,U OPAMP LMV321TP,3PEAK LMV321TP-TR,$0.05670
Transistors,2,"Q1,Q3",Q DUAL PFET: WST2011,WST2010,$0.45500
Transistors,4,Q5-Q8,Q DUAL PFET: BRCS4953DMF-A,BRCS,$0.03950
Diodes,1,D1,BAT54C,,$0.00780
Miscellaneous,2,J1-J2,J 1X8,,$0.19500
Miscellaneous,8,J20-J27,J POGO 1,,$0.11000
Miscellaneous,1,PCB1,PCB,,
Miscellaneous,1,TP1,GATE,,
Miscellaneous,1,TP2,OR,,
Miscellaneous,2,"TP3,TP8",GND,,
Miscellaneous,1,TP4,MAG,,
Miscellaneous,1,TP5,REF,,
Miscellaneous,1,TP6,POGO,,
Miscellaneous,1,TP7,FFC,,
