Designator,Val,Footprint,Mid X,Mid Y,Rotation,Layer
D1,UI_WS2812C-2020,UI_WS2812C-2020,-40.005,47.625,0,top
D2,UI_WS2812C-2020,UI_WS2812C-2020,-13.335,47.625,0,top
D3,UI_WS2812C-2020,UI_WS2812C-2020,13.335,47.625,0,top
D4,UI_WS2812C-2020,UI_WS2812C-2020,40.005,47.625,0,top
D5,UI_WS2812C-2020,UI_WS2812C-2020,-40.005,20.955,0,top
D6,UI_WS2812C-2020,UI_WS2812C-2020,-13.335,20.955,0,top
D7,UI_WS2812C-2020,UI_WS2812C-2020,13.335,20.955,0,top
D8,UI_WS2812C-2020,UI_WS2812C-2020,40.005,20.955,0,top
D9,UI_WS2812C-2020,UI_WS2812C-2020,-40.005,-5.715,0,top
D10,UI_WS2812C-2020,UI_WS2812C-2020,-13.335,-5.715,0,top
D11,UI_WS2812C-2020,UI_WS2812C-2020,13.335,-5.715,0,top
D12,UI_WS2812C-2020,UI_WS2812C-2020,40.005,-5.715,0,top
D13,UI_WS2812C-2020,UI_WS2812C-2020,-40.005,-32.385,0,top
D14,UI_WS2812C-2020,UI_WS2812C-2020,-13.335,-32.385,0,top
D15,UI_WS2812C-2020,UI_WS2812C-2020,13.335,-32.385,0,top
D16,UI_WS2812C-2020,UI_WS2812C-2020,40.005,-32.385,0,top
J1,USB_C_TYPE-C-32-M-12,USB_C_Korean_Hroparts_TYPE-C-31-M-12,0,49,180,top
R37,5k1(N.F.),RES_0805,3,37,270,top
R107,5k1(N.F.),RES_0805,-3,37,270,top
SW1,SW_SPST,SW_HYP_MAPMODE,0,-46.5,180,top
U7,SAMD51N20A,TQFP-100_14x14mm_P0.5mm,0,0,0,top
U16,FUSB302BMPX(N.F.),WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,0,37.5,0,top
