Id,Designator,Footprint,Quantity,Comment,LCSC Part#
1,"UI7,UI5,UI8,UI6",UI_FADER_TT,4,UI_Fader,
2,U3,SOIC-16_3.9x9.9mm_P1.27mm(rot90),1,74HC165,
3,U8,SOIC-8_WIDE(rot90),1,W25Q16JVSSIQ,
4,"R10,R8,R5,R16,R15,R14,R13",RES_0805,7,10k,
5,M1,grid_outline,1,Conn_01x08,
6,JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,JP_SolderJumper_2_Open,
7,"C25,C48,100n1,C1,C16,C8,C4,C15,C7,C3,C14,C6,C2,C13,C5,C55,C54,C44,C49,C47,C46,C45,C42,C41,C39,C52,C35,C9,C33,C32,C30,C28,C26,C31,C29,C27,C24,C22,C20,C18,C23,C21,C19,C17,C10",CAP_0805,45,100n,
8,"U2,U1",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC4051,
9,TP20,TestPoint_Pad_D1.0mm,1,CC2,
10,TP19,TestPoint_Pad_D1.0mm,1,CC1,
11,"C12,C36,C34,C11,C40",CAP_0805,5,1u,
12,"U5,U9",SOT-23-5,2,LN1134A332MR-G,
13,U11,SOT-23-5,1,MT9700,
14,U10,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302BMPX(N.F.),
15,U6,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302BMPX,
16,U4,SOT-23-6,1,SESRV05-4 ,
17,TP18,TestPoint_Pad_D1.0mm,1,UI_5V,
18,TP17,TestPoint_Pad_D1.0mm,1,UI,
19,TP16,TestPoint_Pad_D1.0mm,1,INT,
20,TP15,TestPoint_Pad_D1.0mm,1,SCL,
21,TP14,TestPoint_Pad_D1.0mm,1,SDA,
22,TP13,TestPoint_Pad_D1.0mm,1,UC,
23,TP12,TestPoint_Pad_D1.0mm,1,D+,
24,TP11,TestPoint_Pad_D1.0mm,1,D-,
25,TP10,TestPoint_Pad_D1.0mm,1,VB,
26,TP9,TestPoint_Pad_D1.0mm,1,GND,
27,R9,RES_0805,1,1M,
28,"R7,R6",RES_0805,2,5k1(N.F.),
29,"R4,R3,R2,R1",RES_0805,4,5k1,
30,J1,USB_C_Korean_Hroparts_TYPE-C-31-M-12,1,USB_C_TYPE-C-32-M-12,
31,"FB1,FB2",FERRIT_0805,2,600 Ohm @ 100MHz,
32,C37,CAP_0805,1,4n7,
33,SW1,SW_HYP_MAPMODE,1,SW_SPST,
34,"D16,D8,D4,D15,D7,D3,D14,D6,D2,D13,D5,D1",UI_WS2812C-2020,12,UI_WS2812C-2020,
35,U7,TQFP-100_14x14mm_P0.5mm,1,SAMD51N20A,
36,"TP4,TP3,TP2,TP1",TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,4,TestPoint,
37,"C43,C38",CAP_0805,2,10u,
38,"J11,J10,J9,J7,J5,J4,J8,J6",grid_ffc_8_vertical,8,Conn_01x08,
39,"UI32,UI31,UI30,UI29",UI_BUTTON_OMRON,4,UI_Pushbutton_Omron,
40,"UI4,UI3,UI2,UI1",UI_POT_TT,4,UI_Potentiometer,
41,"R39,R38,R40,R42,R41,R32,R30,R28,R26,R31,R29,R27,R25,R24,R22,R20,R18,R23,R21,R19,R17",RES_0805,21,1k,
42,J2,PinHeader_2x05_P1.27mm_Vertical,1,N.F.,
