"Qty","Designator","Part","Comment","Footprint"
"1","C1","CAP","100n","CAP_0402"
"4","C2,C3,C4,C5","CAP","1u","CAP_0402"
"1","D1","D_Schottky_Dual_CommonCathode_AAK","BAT54C","SOT-23"
"2","J3,J4","Conn_01x04","BC-12-4PD170-08","J_BATTERY_CONN"
"2","J1,J2","Conn_01x04","LBC1130B","J_4xPOGO_SMD"
"1","Q3","2N7002","2N7002","SOT-23"
"4","Q4,Q5,Q6,Q7","IRLML5203","JSM2301S","SOT-23"
"5","R1,R2,R5,R6,R7","RES","470R","RES_0402"
"4","R3,R4,R8,R9","RES","10k","RES_0402"
"4","U1,U3,U4,U7","BL1551B","BL1551B","SOT-363_SC-70-6"
"2","U2,U6","U_ESD_4ch","IP4220CZ6-HXY","SOT-23-6-AND-SOT-363"
"1","U5","LM321","LMV321","SOT-23-5"
"1","U8","A1301KLHLT-T","OH49E-S","SOT-23W"
